epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
83,6368.23,0.32629,0.43669,0.27934,0.86188,0,0.96836,0.98509,0.97973,0.94995,0.96836,0.98509,0.97973,0.94321,0.27244,0.37189,0.24393,0.82383,0,0.000424187,0.000424187,0.000424187
84,6444.69,0.32327,0.43878,0.2799,0.86736,0,0.96967,0.97989,0.97949,0.94522,0.96967,0.97989,0.97949,0.94175,0.26517,0.38936,0.23194,0.81334,0,0.000420653,0.000420653,0.000420653
85,6521.12,0.32353,0.43726,0.27978,0.86642,0,0.97779,0.96165,0.98138,0.9479,0.97779,0.96165,0.98138,0.94451,0.26484,0.41197,0.23178,0.80983,0,0.000417119,0.000417119,0.000417119
86,6597.56,0.32073,0.42469,0.2841,0.86248,0,0.97026,0.9765,0.98069,0.95121,0.97026,0.9765,0.98069,0.94563,0.2598,0.38227,0.23048,0.81285,0,0.000413584,0.000413584,0.000413584
87,6674.1,0.31943,0.42486,0.26391,0.8599,0,0.97817,0.97738,0.98257,0.9498,0.97817,0.97738,0.98257,0.94611,0.25245,0.3857,0.21392,0.80949,0,0.00041005,0.00041005,0.00041005
88,6750.6,0.31811,0.42742,0.27488,0.86009,0,0.96173,0.97441,0.98079,0.94516,0.96173,0.97441,0.98079,0.94082,0.25665,0.38753,0.234,0.80804,0,0.000406516,0.000406516,0.000406516
89,6827.03,0.31754,0.4221,0.27147,0.86015,0,0.97245,0.97698,0.98091,0.94847,0.97245,0.97698,0.98091,0.94464,0.26216,0.38886,0.22399,0.81089,0,0.000402982,0.000402982,0.000402982
90,6903.48,0.31638,0.42774,0.26231,0.85999,0,0.97928,0.98109,0.98317,0.94917,0.97928,0.98109,0.98317,0.94449,0.25319,0.42687,0.22106,0.80538,0,0.000399447,0.000399447,0.000399447
91,6980,0.31007,0.42241,0.25696,0.85434,0,0.97667,0.98064,0.98383,0.95466,0.97667,0.98064,0.98373,0.94777,0.24809,0.38976,0.19977,0.80319,0,0.000395913,0.000395913,0.000395913
92,7056.57,0.31554,0.42238,0.25894,0.85874,0,0.97079,0.98359,0.9836,0.95512,0.97079,0.98359,0.9836,0.94988,0.25865,0.38013,0.22025,0.80819,0,0.000392379,0.000392379,0.000392379
